,beta,fracao_suscetiveis,fracao_infectados,fracao_recuperados,maior_componente,vertices_removidos,rede
0,0.5,0.15954228691425767,0.4800303561448966,0.8404577130857424,0.972,0.028,BA
0,0.5,0.17491814632583863,0.4689083313093088,0.8250818536741614,0.971,0.029,BA
0,0.5,0.1877840365607397,0.46084387288766077,0.8122159634392603,0.97,0.03,BA
0,0.5,0.16464155593256805,0.4726351786708926,0.835358444067432,0.969,0.031,BA
0,0.5,0.18881159927600574,0.4576328888054095,0.8111884007239942,0.968,0.032,BA
0,0.5,0.14953870701077654,0.47740375515057926,0.8504612929892236,0.967,0.033,BA
0,0.5,0.18429715931741317,0.45658067890041965,0.8157028406825868,0.966,0.034,BA
0,0.5,0.18273886547289858,0.4571752261805686,0.8172611345271014,0.965,0.035,BA
0,0.5,0.1707152511148224,0.4621337012103786,0.8292847488851776,0.964,0.036,BA
0,0.5,0.17613700695192527,0.4590006782629137,0.8238629930480748,0.963,0.037,BA
0,0.5,0.1910877373455336,0.4479385030320581,0.8089122626544664,0.962,0.038,BA
0,0.5,0.17919787422267605,0.45340928901454325,0.8208021257773239,0.961,0.039,BA
0,0.5,0.17252278645833333,0.45635091145833334,0.8274772135416666,0.96,0.04,BA
0,0.5,0.1965453238677324,0.44070607090936964,0.8034546761322676,0.959,0.041,BA
0,0.5,0.1804494401610872,0.44925274907274637,0.8195505598389129,0.958,0.042,BA
0,0.5,0.20453699245181248,0.43365445613851195,0.7954630075481876,0.957,0.043,BA
0,0.5,0.19818783809807253,0.43588063059120113,0.8018121619019275,0.956,0.044,BA
0,0.5,0.2095161865080453,0.42908143965351825,0.7904838134919547,0.955,0.045,BA
0,0.5,0.17858382887456103,0.4448026405425243,0.821416171125439,0.954,0.046,BA
0,0.5,0.17263427250775978,0.44710083251762534,0.8273657274922401,0.953,0.047,BA
0,0.5,0.18335348845420524,0.43939561118565074,0.8166465115457948,0.952,0.048,BA
0,0.5,0.19634100360349005,0.43183278213978094,0.80365899639651,0.951,0.049,BA
0,0.5,0.18962991689750694,0.4349950138504155,0.8103700831024931,0.95,0.05,BA
0,0.5,0.19351966075987034,0.4306901724515074,0.8064803392401296,0.949,0.051,BA
0,0.5,0.19370671544802293,0.42886868201321016,0.8062932845519771,0.948,0.052,BA
0,0.5,0.19476610961754398,0.42680436971529057,0.805233890382456,0.947,0.053,BA
0,0.5,0.1765808187584086,0.43607668205731037,0.8234191812415914,0.946,0.054,BA
0,0.5,0.20485764676240867,0.41910024915315924,0.7951423532375913,0.945,0.055,BA
0,0.5,0.20616157354208559,0.4186319484343579,0.7938384264579144,0.944,0.056,BA
0,0.5,0.19704042399822772,0.4205312572743967,0.8029595760017723,0.943,0.057,BA
0,0.5,0.20563151085687498,0.4147170721372515,0.7943684891431251,0.942,0.058,BA
0,0.5,0.22028479436599993,0.40734132070592144,0.779715205634,0.941,0.059,BA
0,0.5,0.18818696242643732,0.4224309642372114,0.8118130375735627,0.94,0.06,BA
0,0.5,0.2022442473299377,0.4136512570302851,0.7977557526700623,0.939,0.061,BA
0,0.5,0.1984249480589741,0.4161430890021413,0.801575051941026,0.938,0.062,BA
0,0.5,0.18790071175633766,0.41860703510032815,0.8120992882436624,0.937,0.063,BA
0,0.5,0.1975183084958726,0.41349349842939587,0.8024816915041274,0.936,0.064,BA
0,0.5,0.2228579599073465,0.40023334953816236,0.7771420400926535,0.935,0.065,BA
0,0.5,0.20676879622539424,0.406050970016828,0.7932312037746059,0.934,0.066,BA
0,0.5,0.21215661541960898,0.40288849141114935,0.7878433845803909,0.933,0.067,BA
0,0.5,0.22955617160014,0.39254383945182264,0.77044382839986,0.932,0.068,BA
0,0.5,0.21617839289031232,0.39904656531615984,0.7838216071096877,0.931,0.069,BA
0,0.5,0.21714302231471846,0.39674528847265583,0.7828569776852815,0.93,0.07,BA
0,0.5,0.21295164424401622,0.39856855004571046,0.7870483557559838,0.929,0.071,BA
0,0.5,0.20339207416765756,0.4025945674791914,0.7966079258323425,0.928,0.072,BA
