,beta,fracao_suscetiveis,fracao_infectados,fracao_recuperados,rede
36,0.7346938775510203,0.07908899999999999,0.677714,0.9209109999999999,ER
37,0.7551020408163265,0.067058,0.6913429999999999,0.932942,ER
38,0.7755102040816326,0.065067,0.697648,0.934933,ER
39,0.7959183673469387,0.072045,0.697222,0.9279550000000001,ER
40,0.8163265306122448,0.063009,0.707172,0.936991,ER
41,0.836734693877551,0.049034,0.7222759999999999,0.950966,ER
42,0.8571428571428571,0.058989,0.718693,0.9410109999999999,ER
43,0.8775510204081632,0.052992,0.727039,0.9470080000000001,ER
44,0.8979591836734693,0.058999,0.7258239999999999,0.941001,ER
45,0.9183673469387754,0.041015,0.7430829999999999,0.958985,ER
46,0.9387755102040816,0.058986,0.732777,0.941014,ER
47,0.9591836734693877,0.055985,0.7380119999999999,0.9440149999999999,ER
48,0.9795918367346939,0.061979,0.7372839999999999,0.938021,ER
49,1.0,0.042985999999999996,0.754937,0.957014,ER
0,0.0,0.999,0.001,0.001,WS
1,0.02040816326530612,0.998347,0.001464,0.001653,WS
2,0.04081632653061224,0.9963099999999999,0.002199,0.00369,WS
3,0.061224489795918366,0.976438,0.004914,0.023562,WS
4,0.08163265306122448,0.8321280000000001,0.022106999999999998,0.16787200000000002,WS
5,0.1020408163265306,0.650065,0.061897,0.349935,WS
6,0.12244897959183673,0.527138,0.106724,0.472862,WS
7,0.14285714285714285,0.432334,0.154161,0.567666,WS
8,0.16326530612244897,0.386524,0.192975,0.613476,WS
9,0.18367346938775508,0.297678,0.247423,0.702322,WS
10,0.2040816326530612,0.279298,0.278354,0.720702,WS
11,0.22448979591836732,0.271115,0.30394099999999996,0.728885,WS
12,0.24489795918367346,0.214136,0.34915199999999996,0.785864,WS
13,0.26530612244897955,0.18412,0.382837,0.81588,WS
14,0.2857142857142857,0.19337000000000001,0.398065,0.80663,WS
15,0.3061224489795918,0.175676,0.423277,0.824324,WS
16,0.32653061224489793,0.13167199999999998,0.46310399999999996,0.868328,WS
17,0.3469387755102041,0.170458,0.457407,0.829542,WS
18,0.36734693877551017,0.15392699999999998,0.479423,0.846073,WS
19,0.3877551020408163,0.12844,0.508128,0.8715599999999999,WS
20,0.4081632653061224,0.119137,0.5254310000000001,0.8808630000000001,WS
21,0.42857142857142855,0.103893,0.546057,0.896107,WS
22,0.44897959183673464,0.105649,0.555817,0.894351,WS
