,beta,fracao_suscetiveis,fracao_infectados,fracao_recuperados,rede
34,0.6938775510204082,0.001259,0.9950460000000001,0.998741,BA
35,0.7142857142857142,0.00016800000000000002,0.99667,0.9998319999999999,BA
36,0.7346938775510203,0.000165,0.997092,0.999835,BA
37,0.7551020408163265,0.00011999999999999999,0.9974890000000001,0.99988,BA
38,0.7755102040816326,0.000116,0.997793,0.999884,BA
39,0.7959183673469387,9.4e-05,0.998185,0.999906,BA
40,0.8163265306122448,5.8e-05,0.9985040000000001,0.999942,BA
41,0.836734693877551,5e-05,0.998698,0.99995,BA
42,0.8571428571428571,4.4e-05,0.998922,0.9999560000000001,BA
43,0.8775510204081632,0.001037,0.998071,0.9989629999999999,BA
44,0.8979591836734693,3.1e-05,0.999205,0.999969,BA
45,0.9183673469387754,2.5e-05,0.999324,0.9999750000000001,BA
46,0.9387755102040816,1.6e-05,0.9994379999999999,0.999984,BA
47,0.9591836734693877,1.4e-05,0.999512,0.999986,BA
48,0.9795918367346939,1.4999999999999999e-05,0.999586,0.999985,BA
49,1.0,8.999999999999999e-06,0.999634,0.999991,BA
0,0.0,0.999,0.001,0.001,ER
1,0.02040816326530612,0.9983690000000001,0.001494,0.001631,ER
2,0.04081632653061224,0.995304,0.002791,0.004696,ER
3,0.061224489795918366,0.923019,0.014673,0.076981,ER
4,0.08163265306122448,0.6282409999999999,0.098018,0.371759,ER
5,0.1020408163265306,0.38295999999999997,0.232846,0.6170399999999999,ER
6,0.12244897959183673,0.266757,0.349111,0.7332430000000001,ER
7,0.14285714285714285,0.170796,0.46536500000000003,0.8292039999999999,ER
8,0.16326530612244897,0.127415,0.548745,0.872585,ER
9,0.18367346938775508,0.07317799999999999,0.637754,0.926822,ER
10,0.2040816326530612,0.055928,0.6972569999999999,0.944072,ER
11,0.22448979591836732,0.036962,0.750719,0.9630380000000001,ER
12,0.24489795918367346,0.030827,0.78985,0.969173,ER
13,0.26530612244897955,0.016785,0.8308450000000001,0.9832150000000001,ER
14,0.2857142857142857,0.011305999999999998,0.860312,0.988694,ER
15,0.3061224489795918,0.013182000000000001,0.879374,0.986818,ER
16,0.32653061224489793,0.009880000000000002,0.899864,0.99012,ER
17,0.3469387755102041,0.006785,0.91747,0.9932150000000001,ER
18,0.36734693877551017,0.004144,0.9327430000000001,0.995856,ER
19,0.3877551020408163,0.0015680000000000002,0.9453980000000001,0.998432,ER
20,0.4081632653061224,0.0022480000000000004,0.9532780000000001,0.997752,ER
21,0.42857142857142855,0.0019199999999999998,0.960934,0.9980800000000001,ER
22,0.44897959183673464,0.0017130000000000001,0.967504,0.998287,ER
23,0.4693877551020408,0.0025470000000000002,0.971955,0.9974529999999999,ER
24,0.4897959183673469,0.00040699999999999997,0.977956,0.999593,ER
25,0.5102040816326531,0.000294,0.981853,0.999706,ER
26,0.5306122448979591,0.00023799999999999998,0.984891,0.9997619999999999,ER
27,0.5510204081632653,0.000189,0.987462,0.999811,ER
28,0.5714285714285714,0.000147,0.989745,0.999853,ER
29,0.5918367346938775,8.1e-05,0.991518,0.999919,ER
30,0.6122448979591836,9.1e-05,0.9928239999999999,0.9999089999999999,ER
31,0.6326530612244897,7.4e-05,0.9941559999999999,0.9999260000000001,ER
32,0.6530612244897959,4.6e-05,0.995088,0.9999539999999999,ER
33,0.673469387755102,4.7e-05,0.9959629999999999,0.999953,ER
34,0.6938775510204082,2.9e-05,0.996741,0.999971,ER
35,0.7142857142857142,2.5e-05,0.9972799999999999,0.9999750000000001,ER
36,0.7346938775510203,1.7e-05,0.997778,0.999983,ER
37,0.7551020408163265,1.2e-05,0.998183,0.9999880000000001,ER
